ts,products,suppliers,categories,product_prices,history_entries,baseline_runs
2026-06-20T19:41:38Z,19710,70,39,41137,105,117
2026-06-20T19:41:48Z,19710,70,39,41137,105,117
2026-06-20T19:41:58Z,19710,70,39,41137,105,117
2026-06-20T19:42:08Z,19710,70,39,41137,105,117
2026-06-20T19:42:18Z,19710,70,39,41137,105,117
2026-06-20T19:42:28Z,19710,70,39,41137,105,117
2026-06-20T19:42:38Z,19710,70,39,41137,105,117
2026-06-20T19:42:48Z,19710,70,39,41137,105,117
2026-06-20T19:42:58Z,19710,70,39,41137,105,117
2026-06-20T19:43:08Z,19710,70,39,41137,105,117
2026-06-20T19:43:18Z,19710,70,39,41137,105,117
2026-06-20T19:43:28Z,19710,70,39,41137,105,117
2026-06-20T19:43:38Z,19710,70,39,41137,105,117
2026-06-20T19:43:49Z,19710,70,39,41137,105,117
2026-06-20T19:43:59Z,19710,70,39,41137,105,117
2026-06-20T19:44:09Z,19710,70,39,41137,105,117
2026-06-20T19:44:19Z,19710,70,39,41137,105,117
2026-06-20T19:44:29Z,19710,70,39,41137,105,117
